country,indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Brunei Darussalam,Spirits,0.15,0.23,0.03,0.02,0.01,0.05,0.11,0.06,0.05,0.05
Brunei Darussalam,Other alcoholic beverages,0.4,0,0,0,0,0,0.02,0,0,0
Bulgaria,All types,10.08,11.21,10.61,11.19,10.97,10.53,10.42,10.92,11.01,10.96
Bulgaria,Beer,2.99,3.22,2.98,3.3,3.52,3.56,3.96,4.41,4.41,4.03
Bulgaria,Wine,2.43,3.23,2.75,2.93,2.09,1.95,1.58,1.7,1.73,2.02
Bulgaria,Spirits,4.65,4.77,4.88,4.96,5.29,4.93,4.8,4.73,4.8,4.84
Bulgaria,Other alcoholic beverages,0,0,0,0,0.06,0.09,0.07,0.07,0.07,0.07
Burkina Faso,All types,3.74,4.55,4.52,4.6,4.55,4.91,4.72,4.58,4.47,4.57
Burkina Faso,Beer,0.4,0.39,0.41,0.41,0.42,0.44,0.44,0.45,0.46,0.46
Burkina Faso,Wine,0.08,0.08,0.07,0.1,0.09,0.09,0.07,0.07,0.09,0.13
Burkina Faso,Spirits,0.29,0.23,0.27,0.21,0.17,0.43,0.5,0.2,0.13,0.14
Burkina Faso,Other alcoholic beverages,2.97,3.86,3.76,3.87,3.87,3.94,3.7,3.86,3.8,3.84
Burundi,All types,6.72,6.19,6.08,5.94,5.81,5.54,4.5,4.54,4.33,4.05
Burundi,Beer,1.43,0.98,1,1.11,1.17,1.19,1.4,1.42,1.4,1.37
Burundi,Wine,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0
Burundi,Spirits,0,0,0,0,0,0,0.01,0.01,0,0
Burundi,Other alcoholic beverages,5.27,5.2,5.08,4.82,4.63,4.34,3.1,3.11,2.93,2.68
Cabo Verde,All types,3.59,3.95,3.94,4.3,4.31,4.38,4.3,5.32,4.18,4.45
Cabo Verde,Beer,2.17,2.2,2.16,2.4,1.97,2.28,1.95,2.05,1.98,2.21
Cabo Verde,Wine,0.95,1.27,1.5,1.42,1.81,1.96,1.88,2.53,1.89,1.76
Cabo Verde,Spirits,0.47,0.48,0.27,0.46,0.53,0.14,0.47,0.74,0.31,0.48
Cabo Verde,Other alcoholic beverages,0,0,0.01,0.01,0,0,0,0,0,0
Cambodia,All types,0.6,0.61,0.74,0.83,0.9,1.1,1.17,1.28,1.34,1.41
Cambodia,Beer,0.34,0.36,0.48,0.53,0.58,0.77,0.83,0.93,0.98,1.04
Cambodia,Wine,0.01,0,0,0,0,0,0,0,0,0
Cambodia,Spirits,0.26,0.25,0.26,0.3,0.32,0.33,0.34,0.35,0.36,0.36
Cambodia,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Cameroon,All types,4.5,5.04,5.2,5.29,5.32,5.2,5.26,5.33,5.57,6.08
Cameroon,Beer,2.07,2.27,2.36,2.36,2.42,2.1,2.08,2.11,2.3,2.71
Cameroon,Wine,0.07,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08
Cameroon,Spirits,0.02,0.04,0.04,0.06,0.07,0.02,0,0,0,0
Cameroon,Other alcoholic beverages,2.34,2.64,2.73,2.78,2.76,3,3.1,3.14,3.19,3.28
Canada,All types,7.7,7.7,7.7,7.8,7.8,8,8.2,8.3,8.3,8.4
Canada,Beer,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Canada,Wine,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.8,1.9
Canada,Spirits,2.1,2.1,2.1,2.1,2.1,2,2.1,2.1,2.1,2.1
Canada,Other alcoholic beverages,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
Central African Republic,All types,1.69,1.68,1.62,1.62,1.61,1.66,1.63,1.68,1.71,1.62
Central African Republic,Beer,0.41,0.37,0.3,0.27,0.25,0.22,0.26,0.28,0.31,0.3
Central African Republic,Wine,0.03,0.02,0.02,0.01,0.01,0.08,0.01,0.01,0.01,0.01
Central African Republic,Spirits,0.02,0.04,0.02,0.04,0.03,0.03,0.04,0.03,0.02,0.04
Central African Republic,Other alcoholic beverages,1.23,1.25,1.28,1.3,1.32,1.33,1.33,1.36,1.37,1.28
Chad,All types,0.26,0.31,0.36,0.43,0.35,0.43,0.44,0.45,0.49,0.5
Chad,Beer,0.17,0.18,0.22,0.24,0.23,0.24,0.23,0.26,0.29,0.3
Chad,Wine,0,0,0,0,0.01,0,0,0.01,0.02,0.02
Chad,Spirits,0,0,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
Chad,Other alcoholic beverages,0.09,0.12,0.11,0.15,0.08,0.16,0.19,0.16,0.16,0.16
Chile,All types,7.09,6.94,6.88,7.25,6.98,7.57,7.33,7.39,7.31,7.67
Chile,Beer,1.8,1.79,1.76,1.81,1.84,2.01,2.26,2.34,2.43,2.32
Chile,Wine,3.32,3.22,3.2,3.46,3.36,2.59,2.22,2.83,2.17,2.85
Chile,Spirits,1.98,1.92,1.91,1.97,1.6,2.97,2.85,2.22,2.71,2.5
Chile,Other alcoholic beverages,0,0.01,0.01,0.01,0.19,0,0,0,0,0
China,All types,3.11,2.91,2.98,2.98,3.05,2.92,3.28,3.88,4.27,4.88
